Year,Month,GDP_nominal,GDP_real,Price_index
1972,10,-152.26241948164875,-15226.241948164876,1
1972,11,-146.74701686852757,-14674.701686852757,1
1972,12,-147.52024784273672,-14752.024784273672,1
1973,1,-118.76203760822145,-11876.203760822145,1
1973,2,-126.82631136892965,-12682.631136892966,1
1973,3,-114.74499432880714,-11474.499432880713,1
1973,4,-106.65101169179962,-10665.101169179963,1
1973,5,-112.14428866185328,-11214.428866185328,1
1973,6,-104.02775044291457,-10402.775044291457,1
1973,7,-88.77032223892948,-8877.032223892948,1
1973,8,-115.55892925384339,-11555.892925384338,1
1973,9,-79.21549669160396,-7921.549669160396,1
1973,10,-77.42394975615662,-7742.394975615662,1
1973,11,-66.44721365144692,-6644.721365144692,1
1973,12,-72.37321358142148,-7237.321358142148,1
1974,1,-84.0398747500271,-8403.98747500271,1
1974,2,-94.98412236120866,-9498.412236120867,1
1974,3,-81.02188161891408,-8102.188161891408,1
1974,4,-94.81107772708742,-9481.107772708743,1
1974,5,-81.38863588967637,-8138.863588967636,1
1974,6,-69.36348131062682,-6936.348131062682,1
1974,7,-85.69553919388456,-8569.553919388456,1
1974,8,-96.03573474339595,-9603.573474339595,1
1974,9,-55.06899316310706,-5506.899316310706,1
1974,10,-40.806239656963825,-4080.6239656963826,1
1974,11,-49.23739942891361,-4923.739942891361,1
1974,12,-50.47339768289986,-5047.339768289986,1
1975,1,-79.33315962287257,-7933.315962287257,1
1975,2,-67.48061045277471,-6748.061045277471,1
1975,3,-86.26967537655266,-8626.967537655266,1
1975,4,-80.96827959815576,-8096.827959815576,1
1975,5,-81.08634832152644,-8108.634832152645,1
1975,6,-63.61280675061247,-6361.280675061247,1
1975,7,-57.48958008935979,-5748.958008935979,1
1975,8,-47.44259354171432,-4744.259354171431,1
1975,9,-54.69477231162267,-5469.477231162267,1
1975,10,-28.500041603030695,-2850.0041603030695,1
1975,11,-45.04532661988543,-4504.532661988543,1
1975,12,-42.964552566131275,-4296.455256613128,1
1976,1,-18.460644645716137,-1846.0644645716136,1
1976,2,-7.173528062584108,-717.3528062584107,1
1976,3,-16.801128020684583,-1680.1128020684582,1
1976,4,-1.7003697239608897,-170.03697239608897,1
1976,5,9.334821623640718,933.4821623640718,1
1976,6,9.0405208181716,904.0520818171601,1
1976,7,-4.877197344312108,-487.71973443121084,1
1976,8,-12.074258067756404,-1207.4258067756405,1
1976,9,7.204413443892051,720.4413443892051,1
1976,10,12.579891986684828,1257.989198668483,1
1976,11,2.33225235668057,233.225235668057,1
1976,12,49.67356934992938,4967.3569349929385,1
1977,1,32.27091776248464,3227.091776248464,1
1977,2,17.774372390402817,1777.4372390402818,1
1977,3,28.446008029736788,2844.6008029736786,1
1977,4,45.116899476538805,4511.68994765388,1
1977,5,78.47612152686514,7847.6121526865145,1
1977,6,29.643748976769018,2964.374897676902,1
1977,7,73.61285662230313,7361.2856622303125,1
1977,8,72.00051925952134,7200.051925952134,1
1977,9,93.67281168448011,9367.281168448011,1
1977,10,52.96580869322875,5296.5808693228755,1
1977,11,82.11958508182605,8211.958508182604,1
1977,12,101.79721564632263,10179.721564632262,1
1978,1,70.03877518277389,7003.877518277389,1
1978,2,69.06233848723139,6906.233848723139,1
1978,3,156.32498035575009,15632.498035575009,1
1978,4,188.97177562050064,18897.177562050063,1
1978,5,193.16780128040674,19316.780128040675,1
1978,6,212.64013769289207,21264.013769289206,1
1978,7,177.89786550427056,17789.786550427056,1
1978,8,233.97406536086095,23397.406536086095,1
1978,9,229.22581790898488,22922.581790898486,1
1978,10,247.15620379495772,24715.620379495773,1
1978,11,261.3723036650992,26137.23036650992,1
1978,12,270.33519816572687,27033.519816572687,1
1979,1,257.16896794315903,25716.896794315904,1
1979,2,266.08069364371784,26608.069364371782,1
1979,3,284.3574559137153,28435.745591371528,1
1979,4,282.41433539947616,28241.433539947615,1
1979,5,287.71941274731637,28771.94127473164,1
1979,6,297.04576860355235,29704.576860355235,1
1979,7,354.68448361450453,35468.44836145045,1
1979,8,310.35863842649223,31035.863842649225,1
1979,9,271.013313685833,27101.331368583298,1
1979,10,350.90559003884334,35090.55900388434,1
1979,11,324.8575481318464,32485.754813184638,1
1979,12,316.58126861115534,31658.126861115532,1
1980,1,391.02783212309333,39102.78321230933,1
1980,2,321.9813193139747,32198.13193139747,1
1980,3,330.0338108301213,33003.38108301213,1
1980,4,388.8503873178478,38885.03873178478,1
1980,5,281.98812942347774,28198.812942347773,1
1980,6,280.7091177933262,28070.91177933262,1
1980,7,335.16143307371084,33516.14330737109,1
1980,8,295.6341559109521,29563.415591095207,1
1980,9,354.44036695136964,35444.036695136965,1
1980,10,391.76314684127794,39176.31468412779,1
1980,11,378.7555762269998,37875.55762269998,1
1980,12,397.8477357548497,39784.77357548497,1
1981,1,430.9657060711488,43096.57060711488,1
1981,2,449.7165678222159,44971.65678222159,1
1981,3,502.03240165436756,50203.24016543676,1
1981,4,394.3902882139229,39439.02882139229,1
1981,5,411.0483081471996,41104.83081471996,1
1981,6,419.90054210051835,41990.054210051836,1
1981,7,450.83807072019556,45083.807072019554,1
1981,8,425.0639746525483,42506.397465254835,1
1981,9,437.8363345439004,43783.633454390045,1
1981,10,346.5712310405663,34657.123104056634,1
1981,11,384.04274478886373,38404.27447888637,1
1981,12,341.88295643511367,34188.29564351137,1
1982,1,238.86794662563398,23886.7946625634,1
1982,2,314.4438040386468,31444.38040386468,1
1982,3,348.1163201161806,34811.63201161806,1
1982,4,332.11108539119937,33211.10853911994,1
1982,5,214.06620443856897,21406.620443856897,1
1982,6,273.97478183316423,27397.478183316423,1
1982,7,257.8769221498485,25787.69221498485,1
1982,8,134.3787299634891,13437.87299634891,1
1982,9,192.15930984895894,19215.930984895895,1
1982,10,140.66076638112486,14066.076638112485,1
1982,11,125.52620413485523,12552.620413485523,1
1982,12,135.60772768501454,13560.772768501454,1
1983,1,153.36144160647785,15336.144160647786,1
1983,2,146.01045047410707,14601.045047410707,1
1983,3,128.98885886277705,12898.885886277705,1
1983,4,157.34077134734997,15734.077134734996,1
1983,5,103.72229250269702,10372.229250269702,1
1983,6,196.91352690368296,19691.352690368298,1
1983,7,176.68057912518515,17668.057912518514,1
1983,8,181.15455374206465,18115.455374206464,1
1983,9,194.71955532918912,19471.955532918913,1
1983,10,133.18968846143213,13318.968846143212,1
1983,11,194.27205771365703,19427.205771365705,1
1983,12,216.89176766073805,21689.176766073804,1
1984,1,182.03792287754035,18203.792287754037,1
1984,2,195.32462793892503,19532.462793892504,1
1984,3,190.7939874197719,19079.39874197719,1
1984,4,176.40710589494574,17640.710589494574,1
1984,5,245.95708793931323,24595.708793931324,1
1984,6,193.94003812774108,19394.003812774106,1
1984,7,137.55806103510105,13755.806103510105,1
1984,8,237.71026123625933,23771.026123625932,1
1984,9,134.59074330609027,13459.074330609028,1
1984,10,186.580611819456,18658.061181945603,1
1984,11,170.96797135121957,17096.797135121957,1
1984,12,181.221926476264,18122.1926476264,1
1985,1,108.52258176944343,10852.258176944344,1
1985,2,142.99704180563268,14299.704180563267,1
1985,3,114.61441115970459,11461.44111597046,1
1985,4,78.04179440651579,7804.179440651579,1
1985,5,61.198296120949664,6119.829612094966,1
1985,6,28.184020877862572,2818.402087786257,1
1985,7,58.88407325212853,5888.407325212853,1
1985,8,96.64655781861369,9664.65578186137,1
1985,9,-35.01242084781367,-3501.2420847813673,1
1985,10,39.13224182771421,3913.224182771421,1
1985,11,-14.264349579932016,-1426.4349579932016,1
1985,12,-70.30709049588434,-7030.709049588434,1
1986,1,-67.33887634527414,-6733.887634527415,1
1986,2,-17.67860255323859,-1767.860255323859,1
1986,3,-87.1201645449018,-8712.01645449018,1
1986,4,-64.4334577453985,-6443.34577453985,1
1986,5,-127.34637757985698,-12734.637757985698,1
1986,6,-134.8328194734161,-13483.28194734161,1
1986,7,-169.5536788512034,-16955.36788512034,1
1986,8,-219.26185113834984,-21926.185113834985,1
1986,9,-218.24323175999007,-21824.32317599901,1
1986,10,-191.89071614124632,-19189.07161412463,1
1986,11,-283.5651997072648,-28356.51997072648,1
1986,12,-258.93557788316707,-25893.557788316706,1
1987,1,-330.5957460940866,-33059.574609408664,1
1987,2,-299.87659976515783,-29987.659976515784,1
1987,3,-277.6750343215117,-27767.50343215117,1
1987,4,-304.85694518827444,-30485.694518827444,1
1987,5,-347.42622779058286,-34742.622779058285,1
1987,6,-359.42277755357253,-35942.27775535725,1
1987,7,-368.0334899023637,-36803.34899023637,1
1987,8,-413.4022602620968,-41340.226026209675,1
1987,9,-340.52098405789934,-34052.09840578993,1
1987,10,-363.02555671490654,-36302.555671490656,1
1987,11,-358.8888736582465,-35888.88736582465,1
1987,12,-329.1257140956588,-32912.57140956588,1
1988,1,-382.0163923652667,-38201.63923652667,1
1988,2,-391.55910658781096,-39155.9106587811,1
1988,3,-316.2420548840259,-31624.20548840259,1
1988,4,-370.62443537464276,-37062.44353746428,1
1988,5,-353.45644618040365,-35345.644618040365,1
1988,6,-351.94828542203163,-35194.82854220316,1
1988,7,-373.806151220269,-37380.6151220269,1
1988,8,-362.1502416958484,-36215.024169584845,1
1988,9,-377.39875496950816,-37739.875496950815,1
1988,10,-408.48088916197554,-40848.08891619756,1
1988,11,-426.8998423939887,-42689.98423939887,1
1988,12,-364.5798127862857,-36457.98127862857,1
1989,1,-381.14099845959925,-38114.09984595992,1
1989,2,-467.6535975346662,-46765.35975346662,1
1989,3,-491.55780813220827,-49155.78081322083,1
1989,4,-477.7428283729766,-47774.28283729766,1
1989,5,-506.8458563776909,-50684.58563776909,1
1989,6,-477.1410902670942,-47714.109026709426,1
1989,7,-532.6017281619253,-53260.17281619253,1
1989,8,-547.7269681829071,-54772.69681829071,1
1989,9,-572.0150084507831,-57201.500845078306,1
1989,10,-612.0110470862857,-61201.10470862857,1
1989,11,-610.929282210154,-61092.928221015405,1
1989,12,-612.200911943112,-61220.0911943112,1
1990,1,-618.4921344059019,-61849.21344059019,1
1990,2,-566.8241477192535,-56682.414771925345,1
1990,3,-578.7591500039067,-57875.91500039067,1
1990,4,-598.8303393805892,-59883.03393805892,1
1990,5,-596.4869139700451,-59648.691397004506,1
1990,6,-652.3800718930028,-65238.007189300275,1
1990,7,-651.6470112701996,-65164.701127019965,1
1990,8,-725.0399302223644,-72503.99302223645,1
1990,9,-759.0200268702324,-75902.00268702324,1
1990,10,-816.6964993345396,-81669.64993345395,1
1990,11,-850.066545736027,-85006.6545736027,1
1990,12,-905.3273641954265,-90532.73641954265,1
1991,1,-936.8701528334708,-93687.01528334708,1
1991,2,-929.8531097708888,-92985.31097708887,1
1991,3,-1014.6164331284211,-101461.64331284212,1
1991,4,-935.6043210268034,-93560.43210268034,1
1991,5,-1009.8089715867704,-100980.89715867705,1
1991,6,-1023.5755829290551,-102357.55829290551,1
1991,7,-1034.3883531743832,-103438.83531743832,1
1991,8,-1054.219480443499,-105421.94804434989,1
1991,9,-1023.4041628571488,-102340.41628571488,1
1991,10,-1050.1265985360321,-105012.65985360321,1
1991,11,-1061.896985600922,-106189.6985600922,1
1991,12,-1151.2325221725412,-115123.25221725412,1
1992,1,-360.3434063716086,-36034.34063716086,1
1992,2,-293.5358363188697,-29353.58363188697,1
1992,3,-305.56001013506295,-30556.001013506295,1
1992,4,-322.4001259409161,-32240.01259409161,1
1992,5,-439.7363818571596,-43973.63818571596,1
1992,6,-305.1459760045419,-30514.59760045419,1
1992,7,-338.4441065037885,-33844.41065037885,1
1992,8,-450.1459714756348,-45014.59714756348,1
1992,9,-418.67476904082133,-41867.476904082134,1
1992,10,-399.4006973200778,-39940.06973200778,1
1992,11,-422.9119544341339,-42291.195443413395,1
1992,12,-371.0437385037294,-37104.37385037294,1
1993,1,12.461752350398228,1246.1752350398228,1
1993,2,-0.34667999247983516,-34.667999247983516,1
1993,3,-51.869233653107244,-5186.923365310724,1
1993,4,-96.31710675219915,-9631.710675219914,1
1993,5,-33.17249741050432,-3317.249741050432,1
1993,6,-89.85360374875995,-8985.360374875996,1
1993,7,-133.4196238876999,-13341.96238876999,1
1993,8,-62.594755948055536,-6259.475594805554,1
1993,9,-41.92362629704701,-4192.362629704701,1
1993,10,-74.08202631115216,-7408.202631115217,1
1993,11,16.701834066674337,1670.1834066674337,1
1993,12,69.1347382021047,6913.47382021047,1
1994,1,-36.21453053918822,-3621.4530539188218,1
1994,2,-58.753188791512684,-5875.318879151268,1
1994,3,-15.422453189206408,-1542.2453189206408,1
1994,4,-37.831540366581635,-3783.1540366581635,1
1994,5,42.24933304203978,4224.933304203978,1
1994,6,-8.60104959765954,-860.1049597659539,1
1994,7,-50.84290492000662,-5084.290492000662,1
1994,8,22.152550440673167,2215.2550440673167,1
1994,9,-34.87390014993889,-3487.390014993889,1
1994,10,23.33252667385193,2333.252667385193,1
1994,11,36.78961427771105,3678.9614277711053,1
1994,12,76.32414602731001,7632.414602731001,1
1995,1,70.62290528833091,7062.290528833091,1
1995,2,5.491675426459551,549.1675426459551,1
1995,3,26.88623980737043,2688.623980737043,1
1995,4,15.15938179673958,1515.938179673958,1
1995,5,33.09088476025613,3309.088476025613,1
1995,6,78.08053206357658,7808.053206357658,1
